strain_as_reported	strain_id_guess	quantity_kind	product	value_as_reported	unit_as_reported	uncertainty_as_reported	n_replicates	timepoint_or_condition	medium_and_cultivation_as_reported	source_locator	quote	confidence	note
cIBA^IlvC6E6	YAA:STRAIN:y799	ratio	other	8.6	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 0.0005	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	Similarly, at 4 h, the cIBAIlvC6E6 strain had a 22-fold (P < 5e-6), 8.6-fold (P < 0.0005), and 2.5-fold (P < 5E-4) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT (Fig. 5).	high	Intracellular 2,3-dihydroxyisovalerate (DHIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
cIBA^IlvC6E6	YAA:STRAIN:y799	ratio	other	2.5	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 5E-4	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	Similarly, at 4 h, the cIBAIlvC6E6 strain had a 22-fold (P < 5e-6), 8.6-fold (P < 0.0005), and 2.5-fold (P < 5E-4) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT (Fig. 5).	high	Intracellular alpha-ketoisovalerate (KIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
mIBA^ILV5	YAA:STRAIN:y797	ratio	other	2.8	fold change vs WT (DECREASE vs WT), intracellular LC-MS peak area normalised per OD600	P < 5E-4	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	In contrast to the cIBAIlvC6E6 and cIBAILV5 strains, intracellular levels of DHIV in the mIBAILV5 strain were at lower levels compared to the WT strain; specifically, the level of DHIV was 2.8-fold (P < 5E-4), 4.5-fold (P < 0.005), and 3.2-fold (P < 0.005) lower when compared to WT at 4, 10, and 26 h respectively, which indicates mitochondrial-localized Ilv3p is not a bottleneck.	high	Intracellular 2,3-dihydroxyisovalerate (DHIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
mIBA^ILV5	YAA:STRAIN:y797	ratio	other	4.5	fold change vs WT (DECREASE vs WT), intracellular LC-MS peak area normalised per OD600	P < 0.005	3	10 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	In contrast to the cIBAIlvC6E6 and cIBAILV5 strains, intracellular levels of DHIV in the mIBAILV5 strain were at lower levels compared to the WT strain; specifically, the level of DHIV was 2.8-fold (P < 5E-4), 4.5-fold (P < 0.005), and 3.2-fold (P < 0.005) lower when compared to WT at 4, 10, and 26 h respectively, which indicates mitochondrial-localized Ilv3p is not a bottleneck.	high	Intracellular 2,3-dihydroxyisovalerate (DHIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
mIBA^ILV5	YAA:STRAIN:y797	ratio	other	3.2	fold change vs WT (DECREASE vs WT), intracellular LC-MS peak area normalised per OD600	P < 0.005	3	26 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	In contrast to the cIBAIlvC6E6 and cIBAILV5 strains, intracellular levels of DHIV in the mIBAILV5 strain were at lower levels compared to the WT strain; specifically, the level of DHIV was 2.8-fold (P < 5E-4), 4.5-fold (P < 0.005), and 3.2-fold (P < 0.005) lower when compared to WT at 4, 10, and 26 h respectively, which indicates mitochondrial-localized Ilv3p is not a bottleneck.	high	Intracellular 2,3-dihydroxyisovalerate (DHIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
cIBA^ILV5 fra2D vs cIBA^ILV5		ratio	other	1.7	fold lower DHIV (normalised peak area / OD600)	P < 0.05	3	10 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6c)	Indeed, the cIBAILV5 fra2D strain had lower levels of DHIV compared to the cIBAILV5 strain indicating the Ilv3p bottleneck was partially relieved; the normalized peak area (peak area/OD600) of DHIV was 1.7-fold (P < 0.05) and 2.9-fold (P < 0.005) lower in cIBAILV5 fra2D compared to cIBAILV5 at 10 and 26 h, respectively.	high	Direct evidence the iron intervention acts ON the Ilv3p step: its substrate falls.
cIBA^ILV5 fra2D vs cIBA^ILV5		ratio	other	2.9	fold lower DHIV (normalised peak area / OD600)	P < 0.005	3	26 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6c)	Indeed, the cIBAILV5 fra2D strain had lower levels of DHIV compared to the cIBAILV5 strain indicating the Ilv3p bottleneck was partially relieved; the normalized peak area (peak area/OD600) of DHIV was 1.7-fold (P < 0.05) and 2.9-fold (P < 0.005) lower in cIBAILV5 fra2D compared to cIBAILV5 at 10 and 26 h, respectively.	high	Same effect, larger at the later timepoint.
cIBA^ILV5 vs cIBA^ILV5 fra2D		ratio	other	3.5	fold higher KIV in cIBA^ILV5 (normalised peak area / OD600)	P < 0.05	3	26 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6c)	Instead, the KIV level between the engineered strains was not significantly altered, except at 26 h where the cIBAILV5 strain had a 3.5-fold increase in KIV compared to the cIBAILV5 fra2D strain (P < 0.05).	high	The Ilv3p PRODUCT went the 'wrong' way -- KIV is LOWER in the fra2D strain, not higher. Authors attribute this to KIV being consumed downstream. This is the one number that does not fit the simple bottleneck-relief picture, and they say so.
cIBA^ILV5 and cIBA^IlvC6E6		ratio	other	~2.0	fold higher Atm1p protein vs WT	not given (FDR < 0.05 per Fig. 5 legend)	3	all three timepoints (4, 10, 26 h)	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.5 (Fig. 5b, Table S5)	Atm1p was upregulated approximately 2.0-fold in the cIBAIlvC6E6 and cIBAILV5 strains at all time points when compared to WT (Fig. 5b).	high	Atm1p = mitochondrial ABC exporter of the X-S Fe-S precursor. Only ISC/CIA protein changed. Value not resolved per strain; both cytosolic strains quoted together.
cIBA^ILV5 and/or cIBA^IlvC6E6		ratio	other	1.7	fold higher Tyw1p protein vs WT	not given (FDR < 0.05 per Fig. 5 legend)	3	10 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.5 (Fig. 5b)	Indeed, protein levels of Ccc1p, Tyw1p, and Grx4p were elevated in the cIBAIlvC6E6 and cIBAILV5 strains for at least one of the time points with Tyw1p having the highest fold change of 1.7 at 10 h when compared to WT (Fig. 5b).	medium	Highest fold change among the Yap5p-responsive iron-storage proteins (Ccc1p, Tyw1p, Grx4p). The sentence does not say WHICH of the two cytosolic strains carries the 1.7; per-strain values are in Fig. 5b heatmap only.
all strains		titer	isopentanol	NOT REPORTED	n/a	n/a	n/a	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Materials and methods 2.4.1 / 2.4.2 (absence verified by full-text search of the JATS XML)	Typical analysis range is 0.065 mM-8.4 mM isobutanol and uses an aliquot volume of 500 mL and 2-Methylpropyl-d9 alcohol (as internal standard).	high	NOT MEASURED. The headspace GC/MS method (Materials and methods 2.4.1) quantifies isobutanol only, against a 2-Methylpropyl-d9 internal standard. The HPLC-RID method (2.4.2) covers glucose, ethanol, glycerol, lactate and acetate. Neither isopentanol/3-methyl-1-butanol nor 2-methyl-1-butanol appears anywhere in the paper. The isobutanol:isopentanol and isobutanol:2-methyl-1-butanol diagnostic ratios CANNOT be obtained from this publication.
all strains		titer	2-methyl-1-butanol	NOT REPORTED	n/a	n/a	n/a	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Materials and methods 2.4.1 / 2.4.2 (absence verified by full-text search of the JATS XML)	Typical analysis range is 0.065 mM-8.4 mM isobutanol and uses an aliquot volume of 500 mL and 2-Methylpropyl-d9 alcohol (as internal standard).	high	NOT MEASURED. Same as isopentanol -- the string '2-methyl-1-butanol' does not occur in the article. Do not infer.
all strains		titer	glycerol	NOT REPORTED IN MAIN TEXT	n/a	n/a	3	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Materials and methods 2.4.2; Results and discussion 3.3 ('34 extracellular metabolites (28 LC-MS and 6 HPLC/GC)')	End-product analytes (glucose, ethanol, glycerol, lactate, and acetate) were measured with an analytical system consisting of an Agilent 1260 Infinity HPLC system ... and a Aminex HPX-87H column || We identified and collected data for 59 intracellular metabolites using LC-MS, 34 extracellular metabolites (28 LC-MS and 6 HPLC/GC), 4339 proteins by LC-MS/MS proteomics, and 6434 genes by RNA-seq (File S1-S4, Data availability).	high	MEASURED BUT NOT REPORTED IN THE MAIN TEXT. Glycerol is named as an HPLC-RID analyte in Materials and methods 2.4.2 and 34 extracellular metabolites were collected, but no glycerol number appears in any figure caption, table or results sentence. The value exists only in supplementary File S1-S4 / the extracellular metabolite set, which I do not have. DO NOT GUESS.
all strains		titer	other	NOT REPORTED IN MAIN TEXT	n/a	n/a	3	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Materials and methods 2.4.2; Results and discussion 3.3 ('34 extracellular metabolites (28 LC-MS and 6 HPLC/GC)')	End-product analytes (glucose, ethanol, glycerol, lactate, and acetate) were measured with an analytical system consisting of an Agilent 1260 Infinity HPLC system ... and a Aminex HPX-87H column || We identified and collected data for 59 intracellular metabolites using LC-MS, 34 extracellular metabolites (28 LC-MS and 6 HPLC/GC), 4339 proteins by LC-MS/MS proteomics, and 6434 genes by RNA-seq (File S1-S4, Data availability).	high	MEASURED BUT NOT REPORTED IN THE MAIN TEXT: lactate and acetate. Same status as glycerol -- named as HPLC-RID analytes, values only in the supplementary files. DO NOT GUESS.
all strains		productivity	isobutanol	NOT REPORTED	n/a	n/a	n/a	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	absence verified by full-text search	The highest isobutanol titer was achieved by the mIBAILV5 strain, which produced 170 mg/L at 38 h, corresponding to a yield of 1.8 mg isobutanol/g glucose.	high	No specific productivity (g/L/h, or mg/g-DCW/h) is reported for any strain. Only endpoint/timepoint titers and one mg/g-glucose yield. A rate could be crudely derived from Fig. 2 but the figure carries no numeric labels in the text, so it is not derived here.
all strains		yield	isobutanol	NOT REPORTED	% of theoretical maximum	n/a	n/a	n/a	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	absence verified by full-text search	The highest isobutanol titer was achieved by the mIBAILV5 strain, which produced 170 mg/L at 38 h, corresponding to a yield of 1.8 mg isobutanol/g glucose.	high	The paper gives % of theoretical only for ETHANOL (>90%). Isobutanol yield is given once, as 1.8 mg/g glucose for mIBAILV5, and never as % theoretical or mol/mol. Table 1 of the paper tabulates OTHER published strains in mg/g carbon source; those are literature values, not this study's strains, and are not extracted here.
