run_accession	study_accession	bioproject	biosample	organism	library_strategy	library_selection	library_layout	spots	study_title	experiment_title	sample_title	sample_name	attr_age	attr_agent	attr_base_media	attr_biomaterial_provider	attr_biosamplemodel	attr_cell_line	attr_collected_by	attr_collection_date	attr_common_name	attr_compound	attr_control_1	attr_control_2	attr_culture	attr_experiment_day	attr_genotype	attr_geo_loc_name	attr_growth_condition	attr_host	attr_isobutanol_addition	attr_isolate	attr_isolation_source	attr_library_id	attr_organism_part	attr_replicate	attr_roles_in_the_project	attr_sample_replicate_id	attr_sample_type	attr_source_name	attr_strain	attr_substrain	attr_temp	attr_time_point	attr_timepoint	attr_tissue	attr_treatment	attr_tryptophan_addition	attr_type	attr_other
SRR18678323	SRP368097	PRJNA824516	SAMN27406439	Escherichia coli str. K-12 substr. MG1655	OTHER	other	PAIRED	386651	Deep sequencing and fitness calculation for plasmids carrying the CREATE cassette from the enriched tolerant strains under different pressures by using Illumina protocol	GSM6033850: Isobutanol; Escherichia coli str. K-12 substr. MG1655; OTHER	Isobutanol	GSM6033850								missing								missing												Escherichia coli	K-12	MG1655					PCR		plasmids	
SRR18678324	SRP368097	PRJNA824516	SAMN27406439	Escherichia coli str. K-12 substr. MG1655	OTHER	other	PAIRED	357354	Deep sequencing and fitness calculation for plasmids carrying the CREATE cassette from the enriched tolerant strains under different pressures by using Illumina protocol	GSM6033850: Isobutanol; Escherichia coli str. K-12 substr. MG1655; OTHER	Isobutanol	GSM6033850								missing								missing												Escherichia coli	K-12	MG1655					PCR		plasmids	
SRR18678325	SRP368097	PRJNA824516	SAMN27406439	Escherichia coli str. K-12 substr. MG1655	OTHER	other	PAIRED	363758	Deep sequencing and fitness calculation for plasmids carrying the CREATE cassette from the enriched tolerant strains under different pressures by using Illumina protocol	GSM6033850: Isobutanol; Escherichia coli str. K-12 substr. MG1655; OTHER	Isobutanol	GSM6033850								missing								missing												Escherichia coli	K-12	MG1655					PCR		plasmids	
SRR18678326	SRP368097	PRJNA824516	SAMN27406439	Escherichia coli str. K-12 substr. MG1655	OTHER	other	PAIRED	47175	Deep sequencing and fitness calculation for plasmids carrying the CREATE cassette from the enriched tolerant strains under different pressures by using Illumina protocol	GSM6033850: Isobutanol; Escherichia coli str. K-12 substr. MG1655; OTHER	Isobutanol	GSM6033850								missing								missing												Escherichia coli	K-12	MG1655					PCR		plasmids	
SRR29711603	SRP518086	PRJNA1132130	SAMN42330602	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	15562547	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 in solvent stress medium		M_2b					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 grew in the condition of solvent stress, replicate 2							cell culture		K12 MG1655	MG1655								
SRR29711604	SRP518086	PRJNA1132130	SAMN42330601	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	17529576	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 in solvent stress medium		M_1a					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 grew in the condition of solvent stress, replicate 1							cell culture		K12 MG1655	MG1655								
SRR29711605	SRP518086	PRJNA1132130	SAMN42330600	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	18801268	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 in LB media		CK_2					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 grew in the LB media, replicate 2							cell culture		K12 MG1655	MG1655								
SRR29711606	SRP518086	PRJNA1132130	SAMN42330599	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	18511521	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 in LB media		CK_1					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 grew in the LB media, replicate 1							cell culture		K12 MG1655	MG1655								
SRR29711607	SRP518086	PRJNA1132130	SAMN42330598	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	16580124	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 with D-33 in solvent stress medium		B_33					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 with rpoD-33 grew in the condition of solvent stress, replicate 2							cell culture		K12 MG1655	MG1655								
SRR29711608	SRP518086	PRJNA1132130	SAMN42330597	Escherichia coli str. K-12 substr. MG1655	RNA-Seq	cDNA	PAIRED	12524845	Altering the sigma D factor of RNA polymerase and thereby improving the tolerance of E. coli strains to isobutanol.	RNA-Seq of E. coli MG1655 with D-33 in solvent stress medium		A_33					Microbe, viral or environmental			2021-11								China: Beijing		Homo sapiens		MG1655 with rpoD-33 grew in the condition of solvent stress, replicate 1							cell culture		K12 MG1655	MG1655								
SRR33767555	SRP588897	PRJNA1270032	SAMN48810509	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	7345196	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 7 5%. Replicate B	Isobutanol.7.5% Replicate B	Isobutanol.7.5%_B					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00015626				Isobutanol.7.5%_Rep_B	DNA		PK15455		30C							
SRR33767556	SRP588897	PRJNA1270032	SAMN48810493	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	6836599	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 7 5%. Replicate A	Isobutanol.7.5% Replicate A	Isobutanol.7.5%_A					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00014529				Isobutanol.7.5%_Rep_A	DNA		PK15455		30C							
SRR33767557	SRP588897	PRJNA1270032	SAMN48810506	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	9675737	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 5%. Replicate B	Isobutanol.5% Replicate B	Isobutanol.5%_B					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00015619				Isobutanol.5%_Rep_B	DNA		PK15455		30C							
SRR33767558	SRP588897	PRJNA1270032	SAMN48810489	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	9295093	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 5%. Replicate A	Isobutanol.5% Replicate A	Isobutanol.5%_A					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00014557				Isobutanol.5%_Rep_A	DNA		PK15455		30C							
SRR33767559	SRP588897	PRJNA1270032	SAMN48810513	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	9919889	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 10%. Replicate B	Isobutanol.10% Replicate B	Isobutanol.10%_B					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00015736				Isobutanol.10%_Rep_B	DNA		PK15455		30C							
SRR33767560	SRP588897	PRJNA1270032	SAMN48810497	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	6622437	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 10%. Replicate A	Isobutanol.10% Replicate A	Isobutanol.10%_A					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00014547				Isobutanol.10%_Rep_A	DNA		PK15455		30C							
SRR33767561	SRP588897	PRJNA1270032	SAMN48810501	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	10725601	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 1 25%. Replicate B	Isobutanol.1.25% Replicate B	Isobutanol.1.25%_B					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00015623				Isobutanol.1.25%_Rep_B	DNA		PK15455		30C							
SRR33767563	SRP588897	PRJNA1270032	SAMN48810484	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Tn-Seq	PCR	SINGLE	7007634	Tn-seq chemical genomics in Zymomonas mobilis	Tn-seq of Zymomonas mobilis ZM4 in Isobutanol 1 25%. Replicate A	Isobutanol.1.25% Replicate A	Isobutanol.1.25%_A					Microbe, viral or environmental			not applicable							WT conjugated with pRL27	not applicable		not applicable			not applicable	G00014553				Isobutanol.1.25%_Rep_A	DNA		PK15455		30C							
SRR33968977	SRP591874	PRJNA1276497	SAMN49074122	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	37309339	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 1.25% rep 1	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 1.25% rep 1	P16.2_A4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P16.2_A4_B	CRISPRi library		ZM4		30C							
SRR33968978	SRP591874	PRJNA1276497	SAMN49074121	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	43412873	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 5% rep 1	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 5% rep 1	P16.2_B4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P16.2_B4_B	CRISPRi library		ZM4		30C							
SRR33969001	SRP591874	PRJNA1276497	SAMN49074141	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	35592430	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 5% rep 2	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 5% rep 2	P35.2_B4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P35.2_B4_B	CRISPRi library		ZM4		30C							
SRR33969006	SRP591874	PRJNA1276497	SAMN49074136	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	38292297	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 1.25% rep 2	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 1.25% rep 2	P35.2_A4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P35.2_A4_B	CRISPRi library		ZM4		30C							
SRR33969011	SRP591874	PRJNA1276497	SAMN49074132	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	38924901	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 7.5% rep 2	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 7.5% rep 2	P35.2_C4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P35.2_C4_B	CRISPRi library		ZM4		30C							
SRR33969016	SRP591874	PRJNA1276497	SAMN49074127	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	OTHER	PCR	PAIRED	35339827	CRISPRi chemical genomics in Zymomonas mobilis	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 7.5% rep 1	CRISPRi in Zymomonas mobilis ZM4: Isobutanol 7.5% rep 1	P16.2_C4_B				Jason Peters Lab	Microbe, viral or environmental		Eckmann and Enright Steinberger et al., UW-Madison	not applicable								missing: lab stock		not applicable		sJMP2618, sJMP2619 & sJMP2620 libraries	not applicable					P16.2_C4_B	CRISPRi library		ZM4		30C							
SRR6370305	SRP126584	PRJNA422127	SAMN08166015	Lactococcus cremoris	RNA-Seq	cDNA	PAIRED	18372704	Designing of Lactococcus lactis platform for isobutanol production using multiple rounds of adaptive laboratory evolution	GSM2886449: WT/rep1; Lactococcus lactis subsp. cremoris; RNA-Seq	WT/rep1	GSM2886449													late log phase															bacterial cell	wild type									
SRR6370306	SRP126584	PRJNA422127	SAMN08166016	Lactococcus cremoris	RNA-Seq	cDNA	PAIRED	23351651	Designing of Lactococcus lactis platform for isobutanol production using multiple rounds of adaptive laboratory evolution	GSM2886450: WTD/WT rep2; Lactococcus lactis subsp. cremoris; RNA-Seq	WTD/WT rep2	GSM2886450													late log phase															bacterial cell	wild type									
SRR6370307	SRP126584	PRJNA422127	SAMN08166017	Lactococcus cremoris	RNA-Seq	cDNA	PAIRED	7974096	Designing of Lactococcus lactis platform for isobutanol production using multiple rounds of adaptive laboratory evolution	GSM2886451: 4B0 rep1; Lactococcus lactis subsp. cremoris; RNA-Seq	4B0 rep1	GSM2886451													late log phase															bacterial cell	4% isobutanol tolerant									
SRR6903496	SRP126584	PRJNA422127	SAMN08800371	Lactococcus cremoris	RNA-Seq	cDNA	PAIRED	19923151	Designing of Lactococcus lactis platform for isobutanol production using multiple rounds of adaptive laboratory evolution	GSM3068949: 4B4 rep1; Lactococcus lactis subsp. cremoris; RNA-Seq	4B4 rep1	GSM3068949													late log phase															bacterial cell	4% isobutanol tolerant									
SRR7009342	SRP140506	PRJNA450392	SAMN08937573	Escherichia coli	AMPLICON	PCR	PAIRED	18306296	CRISPRi pooled screening based functional genomics method in bacteria	GW_isobutanol_R2		GW_isobutanol_R2				Xin-Hui Xing and Chong Zhang lab	Microbe, viral or environmental		Tianmin Wang	2017-05-19								China					lab culture				Genome-wide library screen in MOPS + 4 g/L isobutanol, replicate 2		mixed culture		K12 MG1655									
SRR7009349	SRP140506	PRJNA450392	SAMN08937572	Escherichia coli	AMPLICON	PCR	PAIRED	10941327	CRISPRi pooled screening based functional genomics method in bacteria	GW_isobutanol_R1		GW_isobutanol_R1				Xin-Hui Xing and Chong Zhang lab	Microbe, viral or environmental		Tianmin Wang	2017-05-19								China					lab culture				Genome-wide library screen in MOPS + 4 g/L isobutanol, replicate 1		mixed culture		K12 MG1655									
SRR7642934	SRP156315	PRJNA484406	SAMN09764632	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	11189573	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318013: Isobutanol_NCY3290_ANAE_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_NCY3290_ANAE_R1 [RNA-Seq_3strains]	GSM3318013		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	NCY3290									
SRR7642935	SRP156315	PRJNA484406	SAMN09764631	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	10910340	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318014: Isobutanol_NCY3290_ANAE_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_NCY3290_ANAE_R2 [RNA-Seq_3strains]	GSM3318014		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	NCY3290									
SRR7642940	SRP156315	PRJNA484406	SAMN09764625	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	12557528	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318019: Isobutanol_IL01_ANAE_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_IL01_ANAE_R2 [RNA-Seq_3strains]	GSM3318019		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	IL01									
SRR7642941	SRP156315	PRJNA484406	SAMN09764630	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	9347150	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318020: Isobutanol_IL01_ANAE_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_IL01_ANAE_R1 [RNA-Seq_3strains]	GSM3318020		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	IL01									
SRR7642952	SRP156315	PRJNA484406	SAMN09764612	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	14220515	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318031: Isobutanol_IL01_AER_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_IL01_AER_R2 [RNA-Seq_3strains]	GSM3318031		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	IL01									
SRR7642953	SRP156315	PRJNA484406	SAMN09764611	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	13168201	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318032: Isobutanol_Y7568_AER_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_Y7568_AER_R2 [RNA-Seq_3strains]	GSM3318032		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	Y7568									
SRR7642954	SRP156315	PRJNA484406	SAMN09764610	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	11533585	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318033: Isobutanol_Y7568_AER_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_Y7568_AER_R1 [RNA-Seq_3strains]	GSM3318033		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	Y7568									
SRR7642959	SRP156315	PRJNA484406	SAMN09764605	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	9869810	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318038: Isobutanol_NCY3290_AER_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_NCY3290_AER_R2 [RNA-Seq_3strains]	GSM3318038		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	NCY3290									
SRR7642962	SRP156315	PRJNA484406	SAMN09764602	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	10827773	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318041: Isobutanol_NCY3290_AER_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_NCY3290_AER_R1 [RNA-Seq_3strains]	GSM3318041		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	NCY3290									
SRR7642965	SRP156315	PRJNA484406	SAMN09764599	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	9939439	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318044: Isobutanol_IL01_AER_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_IL01_AER_R1 [RNA-Seq_3strains]	GSM3318044		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	IL01									
SRR7642966	SRP156315	PRJNA484406	SAMN09764598	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	13020445	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318045: Isobutanol_Y7568_ANAE_R2 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_Y7568_ANAE_R2 [RNA-Seq_3strains]	GSM3318045		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	Y7568									
SRR7642967	SRP156315	PRJNA484406	SAMN09764597	Saccharomyces cerevisiae	RNA-Seq	cDNA	SINGLE	11848449	Genotype-by-environment-by-environment interactions in the Saccharomyces cerevisiae transcriptomic response to alcohols and anaerobiosis	GSM3318046: Isobutanol_Y7568_ANAE_R1 [RNA-Seq_3strains]; Saccharomyces cerevisiae; RNA-Seq	Isobutanol_Y7568_ANAE_R1 [RNA-Seq_3strains]	GSM3318046		Isobutanol								Isobutanol																		Gasch Lab/ GLBRC	Y7568									
SRR7892090	SRP162375	PRJNA492719	SAMN10104631	Lactococcus cremoris	WGS	PCR	PAIRED	1673711	Genome sequencing of 4B0 Lactococcus lactis strain (4% isobutanol tolerant srain grown in absence of isobutanol).	4B0_draft genome	4B0_draft genome	4B0					MIGS.ba			2017-11-04								India: New Delhi					4% isobutanol tolerant sttrain was obtained after evolution experiments performed on wild type NZ9000 L. lactis strain.								4B0									{"biotic_relationship": "free living", "encoded_traits": "antibiotics resistance traits are present", "env_biome": "Plants and animal habitats", "env_broad_scale": "Plants and animal habitats", "env_feature": "Laboratory isolate", "env_local_scale": "Laboratory isolate", "env_material": "Bacterial culture", "env_medium": "Bacterial culture", "estimated_size": "2.53 Mb", "extrachrom_elements": "Plasmids absent", "health_state": "Mutant 4B0 srain was obtained after evolution experiments", "isol_growth_condt": "The strain was isolated from the continuous stirred tank reactor running at 4% isobutanol containing modified GM17 media. The strain was further grown in GM17 media in a static flask at 30 degrees for 24 - 48 hours and Its genome was isolated using the standard genomic DNA isolation protocol for gram positive bacteria.", "lat_lon": "28.5402 N 77.1662 E", "num_replicons": "Plasmid cured strain", "pathogenicity": "No", "ref_biomaterial": "missing", "rel_to_oxygen": "facultative", "samp_collect_device": "Microfuge tubes", "samp_mat_process": "Samples from the static flasks were collected, centrifuged and immediately processed for genomic DNA isolation.", "samp_size": "2 ml", "source_material_id": "4B0", "subspecf_gen_lin": "Lactococcus lactis subspecies cremoris"}
